id	name	descId	population	crystal	gas	time	hp	atkSpeed	atkDistance	armor	speed	invincible	level	miningOfCrystal	miningOfGas	speedOfCrystal	speedOfGas	mumber	volume	type
int	string	int	int	int	int	int	int	float	int	int	float	int	int	int	int	float	float	int	int	int
单位的唯一id	单位名称	单位描述文本id	人口	晶矿	气矿	生产时间	血量	攻击速度	攻击范围	护甲	移动速度	是否无敌	等级	单次挖晶矿量	单次挖气矿量	挖晶矿速度	挖气矿速度	数量	体积	类型
101	scv	1	1	50	0	20	60	0	0	0	0	0	0	8	8	5	3	1	1	1
102	marine	2	1	50	0	24	40	2	4	0	0	0	0	0	0	0	0	1	1	1
103	firebat	3	1	50	25	24	50	2	2	1	0	0	0	0	0	0	0	1	1	1
201	commandCenter	4	0	0	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	3	1
202	tower	5	0	100	0	30	350	0	0	0	0	0	0	0	0	0	0	0	3	1
203	supplyDepot	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1
204	house	7	0	100	0	40	0	0	0	0	0	1	0	0	0	0	0	0	3	1
205	academy	8	0	100	150	80	0	0	0	0	0	1	0	0	0	0	0	1	3	1
206	barracks	9	0	150	0	80	0	0	0	0	0	1	0	0	0	0	0	0	3	1
207	artillery	10	0	200	100	80	0	0	0	0	0	1	0	0	0	0	0	0	3	1
208	starport	11	0	150	100	70	0	0	0	0	0	1	0	0	0	0	0	0	3	1
209	upgradeBarracks	12	0	125	0	60	0	0	0	0	0	1	0	0	0	0	0	1	3	1
210	upgradeArtillery	13	0	100	50	80	0	0	0	0	0	1	0	0	0	0	0	1	3	1
211	upgradeStarport	14	0	100	50	80	0	0	0	0	0	1	0	0	0	0	0	1	3	1
